CountryCode,TotalRecords,USDperCapita,AvgGDP,Country_x,From_x,To_x,TotalSports_x,TotalGold_x,TotalSilver_x,TotalBronze_x,TotalMedals_x,TotalAthletes_x,TotalYears_x,AvgMedalsPerYear_x,AvgAthletePerYear_x,AvgSportsPerYear_x,AvgAthletePerSport_x,Country_y,From_y,To_y,TotalSports_y,TotalGold_y,TotalSilver_y,TotalBronze_y,TotalMedals_y,TotalAthletes_y,TotalYears_y,AvgMedalsPerYear_y,AvgAthletePerYear_y,AvgSportsPerYear_y,AvgAthletePerSport_y
ARG,13,235377.76106000002,18105.98,Argentina,1928.0,2014.0,8.0,0.0,0.0,0.0,0.0,136.0,21.0,0.0,6.5,0.4,17.0,Argentina,1928.0,2014.0,8.0,0.0,0.0,0.0,0.0,136.0,21.0,0.0,6.5,0.4,17.0
AUS,57,1115987.7186850002,19578.73,Australia,1924.0,2014.0,14.0,5.0,3.0,4.0,12.0,240.0,22.0,0.5,10.9,0.6,17.1,Australia,1924.0,2014.0,14.0,5.0,3.0,4.0,12.0,240.0,22.0,0.5,10.9,0.6,17.1
AUT,47,1118601.3573760001,23800.03,Austria,1924.0,2014.0,14.0,59.0,78.0,81.0,218.0,859.0,22.0,9.9,39.0,0.6,61.4,Austria,1924.0,2014.0,14.0,59.0,78.0,81.0,218.0,859.0,22.0,9.9,39.0,0.6,61.4
BEL,47,1056907.3935449999,22487.39,Belgium,1924.0,2014.0,8.0,1.0,1.0,3.0,5.0,124.0,22.0,0.2,5.6,0.4,15.5,Belgium,1924.0,2014.0,8.0,1.0,1.0,3.0,5.0,124.0,22.0,0.2,5.6,0.4,15.5
BGR,22,248559.939074,11298.18,Bulgaria,1936.0,2014.0,11.0,1.0,2.0,3.0,6.0,180.0,19.0,0.3,9.5,0.6,16.4,Bulgaria,1936.0,2014.0,11.0,1.0,2.0,3.0,6.0,180.0,19.0,0.3,9.5,0.6,16.4
BRA,17,218644.57272699996,12861.45,Brazil,1992.0,2014.0,8.0,0.0,0.0,0.0,0.0,32.0,7.0,0.0,4.6,1.1,4.0,Brazil,1992.0,2014.0,8.0,0.0,0.0,0.0,0.0,32.0,7.0,0.0,4.6,1.1,4.0
CAN,47,1111142.547571,23641.33,Canada,1924.0,2014.0,15.0,62.0,56.0,52.0,170.0,1279.0,22.0,7.7,58.1,0.7,85.3,Canada,1924.0,2014.0,15.0,62.0,56.0,52.0,170.0,1279.0,22.0,7.7,58.1,0.7,85.3
CHE,47,1442430.1106019998,30690.0,Switzerland,1924.0,2014.0,15.0,50.0,40.0,48.0,138.0,1007.0,22.0,6.3,45.8,0.7,67.1,Switzerland,1924.0,2014.0,15.0,50.0,40.0,48.0,138.0,1007.0,22.0,6.3,45.8,0.7,67.1
CHL,31,365867.369698,11802.17,Chile,1948.0,2014.0,4.0,0.0,0.0,0.0,0.0,50.0,18.0,0.0,2.8,0.2,12.5,Chile,1948.0,2014.0,4.0,0.0,0.0,0.0,0.0,50.0,18.0,0.0,2.8,0.2,12.5
CHN,36,146484.40279300002,4069.01,China,1980.0,2014.0,11.0,12.0,22.0,19.0,53.0,311.0,10.0,5.3,31.1,1.1,28.3,China,1980.0,2014.0,11.0,12.0,22.0,19.0,53.0,311.0,10.0,5.3,31.1,1.1,28.3
