Country,From,To,Participants,Sports,Gold,Silver,Bronze
China,1980,2014,311,11,12,22,19
Mexico,1928,2014,32,5,,,
Turkey,1936,2014,61,3,,,
France,1924,2014,823,16,31,31,47
Australia,1924,2014,240,14,5,3,4
Ireland,1992,2014,27,5,,,
India,1924,2014,21,4,,,
Spain,1936,2014,132,10,1,,1
Japan,1928,2014,798,15,10,17,18
Norway,1924,2014,820,15,118,111,100
Finland,1924,2014,723,12,42,62,57
Italy,1924,2014,938,16,37,34,43
Austria,1924,2014,859,14,59,78,81
New Zealand,1952,2014,90,11,,1,
Iceland,1948,2014,75,3,,,
Belgium,1924,2014,124,8,1,1,3
Canada,1924,2014,1279,15,62,56,52
Sweden,1924,2014,902,14,50,40,54
United States,1924,2014,1696,16,96,102,84
Luxembourg,1928,2014,12,4,,2,
Estonia,1928,2014,94,8,4,2,1
Lithuania,1928,2014,26,6,,,
Russia,1994,2014,616,15,49,40,35
Poland,1924,2014,511,15,6,7,7
Colombia,2010,2010,1,1,,,
Slovakia,1994,2014,201,12,2,2,1
Peru,2010,2014,3,2,,,
Hungary,1924,2014,206,10,,2,4
Brazil,1992,2014,32,8,,,
Argentina,1928,2014,136,8,,,
Czech Republic,1994,2014,267,14,7,9,8
Malta,2014,2014,1,1,,,
Cyprus,1980,2014,14,1,,,
Israel,1994,2014,13,3,,,
Netherlands Antilles,1988,1992,3,2,,,
Albania,2006,2014,2,1,,,
Algeria,1992,2010,7,2,,,
Andorra,1976,2014,28,4,,,
Armenia,1994,2014,28,5,,,
American Samoa,1994,1994,2,1,,,
Azerbaijan,1998,2014,13,2,,,
Bermuda,1992,2014,3,3,,,
Bosnia and Herzegovina,1994,2014,28,5,,,
Belarus,1994,2014,160,10,6,4,5
Bolivia,1956,1992,13,1,,,
Bulgaria,1936,2014,180,11,1,2,3
Cayman Islands,2010,2014,1,1,,,
Chile,1948,2014,50,4,,,
Cameroon,2002,2002,1,1,,,
Costa Rica,1980,2006,7,3,,,
Croatia,1992,2014,51,7,4,6,1
Denmark,1948,2014,58,8,,1,
Dominica,2014,2014,1,1,,,
Egypt,1984,1984,1,1,,,
Ethiopia,2006,2010,1,1,,,
Fiji,1988,2002,2,2,,,
Georgia,1994,2014,15,4,,,
Germany,1928,2014,891,15,86,84,58
Ghana,2010,2010,1,1,,,
Greece,1936,2014,66,8,,,
Guatemala,1988,1988,6,2,,,
Guam,1988,1988,1,1,,,
Hong Kong,2002,2014,4,1,,,
Honduras,1992,1992,1,1,,,
Iran,1956,2014,24,2,,,
British Virgin Islands,1984,2014,2,2,,,
Jamaica,1988,2014,11,2,,,
Kazakhstan,1994,2014,192,11,1,3,3
Kenya,1998,2006,1,1,,,
Kyrgyzstan,1994,2014,7,4,,,
Latvia,1924,2014,194,12,,4,3
Lebanon,1948,2014,31,3,,,
Liechtenstein,1936,2014,80,4,2,2,5
Madagascar,2006,2006,1,1,,,
Morocco,1968,2014,24,2,,,
Moldova,1994,2014,15,4,,,
Mongolia,1964,2014,39,4,,,
Macedonia,1998,2014,10,2,,,
Monaco,1984,2014,16,2,,,
Netherlands,1928,2014,214,8,37,38,35
Nepal,1924,2014,3,2,,,
Pakistan,2010,2014,2,1,,,
Paraguay,2014,2014,1,1,,,
Philippines,1972,2014,5,3,,,
Portugal,1952,2014,12,5,,,
Puerto Rico,1984,1998,17,5,,,
Romania,1928,2014,281,13,,,1
South Africa,1960,2010,11,5,,,
Serbia,2010,2014,15,5,,,
Senegal,1984,2010,3,1,,,
Slovenia,1992,2014,158,11,2,4,9
San Marino,1976,2014,15,3,,,
Switzerland,1924,2014,1007,15,50,40,48
Swaziland,1992,1992,1,1,,,
Tonga,2014,2014,1,1,,,
Thailand,2002,2014,3,2,,,
Tajikistan,2002,2014,2,1,,,
Togo,2014,2014,2,2,,,
Trinidad and Tobago,1994,2002,4,1,,,
Ukraine,1994,2014,198,13,2,1,4
Uruguay,1998,1998,1,1,,,
Uzbekistan,1994,2014,21,3,1,,
Venezuela,1998,2014,5,2,,,
Zimbabwe,2014,2014,1,1,,,
Czechoslovakia,1924,1992,480,11,2,8,15
United Kingdom,1924,2014,642,16,10,4,12
Yugoslavia,1924,1992,235,10,,3,1
South Korea,1948,2014,255,13,26,17,10
Soviet Union,1956,1988,473,10,78,57,59
North Korea,1964,2010,62,5,,1,1
East Germany,1968,1988,232,10,39,36,35
West Germany,1968,1988,336,10,11,15,13
Chinese Taipei,1972,2014,44,8,,,
United States Virgin Islands,1988,2014,26,3,,,
Unified Team,1992,1992,129,12,9,6,8
Serbia and Montenegro,1998,2006,12,5,,,
Montenegro,2010,2014,3,1,,,
Individual Olympic Athletes,2014,2014,1,1,,,
Timor Leste,2014,2014,1,1,,,
